"UID","geno","block","row","col","dry_matter_plant_15","fresh_weight_plant_15","moisture_content_15","dry_matter_plant_16","fresh_weight_plant_16","moisture_content_16"
"63509","Mb-226","1","19","13","0.28442099999999998","0.52","45.303699999999999","NA","NA","NA"
"63526","Mb-787_13","1","36","13","0.12204","0.22","44.5274","0.377","0.53600000000000003","29.6"
"63527","Mb-893_11","1","37","13","3.30585","7.4","55.326300000000003","4.952","9.3940000000000001","47.3"
"63528","Mb-1156_13","1","38","13","1.4295899999999999","3.56","59.8429","2.0150000000000001","4.0410000000000004","50.1"
"63533","Mb-37","1","38","14","0.90537800000000002","2.14","57.692599999999999","1.6259999999999999","3.0390000000000001","46.5"
"63535","Mb-148","1","36","14","2.12676","3.66","41.8919","3.2869999999999999","4.7480000000000002","30.8"
"63592","Mb-297","1","22","15","0.25906600000000002","0.54","52.024799999999999","0.67900000000000005","0.85799999999999998","20.9"
"63637","Mb-1486_1","1","14","16","3.2181899999999999","5.04","36.146999999999998","3.7589999999999999","5.6","32.9"
"63646","Mb-1130_51","1","5","16","3.8807800000000001","5.34","27.3262","6.2709999999999999","9.2170000000000005","32"
"63652","Mb-1205_12","1","2","17","0.23567399999999999","0.31","23.976099999999999","2.9470000000000001","5.2690000000000001","44.1"
"63676","Mb-115","1","26","17","0.32098199999999999","0.45","28.6707","0.94099999999999995","1.369","31.3"
"63679","Mb-1162_20","1","29","17","0.78827499999999995","0.95","17.023700000000002","NA","NA","NA"
"63681","Mb-147","1","31","17","1.1001300000000001","1.5","26.658000000000001","1.494","2.2639999999999998","34"
"63682","Mb-914_13","1","32","17","0.48933599999999999","1.05","53.396500000000003","0.68200000000000005","1.2649999999999999","46.1"
"63684","Mb-958_19","1","34","17","0.20630599999999999","0.3","31.231200000000001","0.68500000000000005","0.92100000000000004","25.6"
"63699","Mb-1485_42","1","32","18","2.3912599999999999","3.55","32.640500000000003","3.2280000000000002","5.516","41.5"
"63705","Mb-935_13","1","26","18","1.68137","2.35","28.452300000000001","4.0090000000000003","5.8","30.9"
"63708","Mx-437_90","1","23","18","2.2403","4.1500000000000004","46.0169","2.9220000000000002","4.5419999999999998","35.700000000000003"
"63725","Mb-140","1","6","18","0.89346499999999995","1.1499999999999999","22.307400000000001","2.0369999999999999","3.1440000000000001","35.200000000000003"
"63738","Mb-508","2","8","1","0.42663899999999999","0.55000000000000004","22.429300000000001","NA","NA","NA"
"63742","Mb-969_18","2","12","1","1.53355","2.4500000000000002","37.405999999999999","2.3620000000000001","3.016","21.7"
"63743","Mb-434_1","2","13","1","0.60131199999999996","0.8","24.835999999999999","1.5780000000000001","1.909","17.399999999999999"
"63747","Mb-486","2","17","1","0.23305799999999999","0.3","22.314","1.669","2.0539999999999998","18.7"
"63758","Mb-494_1","2","28","1","0.79597600000000002","1.05","24.192799999999998","NA","NA","NA"
"63765","Mb-505_1","2","35","1","0.26778800000000003","0.4","33.052900000000001","1.345","1.7709999999999999","24.1"
"63770","Mb-965_15","2","40","1","0.73270400000000002","0.9","18.5885","1.994","2.5","20.2"
"63783","Mb-177","2","28","2","0.73220300000000005","0.9","18.644100000000002","1.54","1.8819999999999999","18.2"
"63813","Mb-74","2","3","3","1.06097","1.35","21.4099","0.61299999999999999","0.76700000000000002","20"
"63822","Mb-502_1","2","12","3","0.96735599999999999","1.75","44.722499999999997","1.593","2.1709999999999998","26.6"
"63828","Mb-490_10","2","18","3","0.18759100000000001","0.3","37.4696","NA","NA","NA"
"63850","Mb-485_1","2","40","3","0.428118","0.55000000000000004","22.160299999999999","1.2330000000000001","1.5049999999999999","18.100000000000001"
"63851","Mb-1147_12","2","40","4","1.2026699999999999","1.75","31.275700000000001","1.3360000000000001","1.931","30.8"
"63859","Mb-431_1","2","32","4","0.55449400000000004","0.8","30.688300000000002","1.246","1.585","21.4"
"63864","Mb-488_15","2","27","4","0.76363999999999999","1.1499999999999999","33.596499999999999","2.004","2.5499999999999998","21.4"
"63870","Mx-2470_5","2","21","4","1.3058799999999999","1.7","23.183399999999999","3.5019999999999998","4.2889999999999997","18.399999999999999"
"63878","Mx-1956_15","2","13","4","2.1539700000000002","2.95","26.984100000000002","1.5740000000000001","2.1230000000000002","25.8"
"63881","Mb-1040_17","2","10","4","0.54","0.75","28","NA","NA","NA"
"63890","Mb-72","2","1","4","1.62663","3.3","50.708199999999998","0.82299999999999995","1.3260000000000001","37.9"
"63898","Mb-961_16","2","8","5","0.73097299999999998","0.9","18.780799999999999","2.2250000000000001","2.6989999999999998","17.600000000000001"
"63908","Mb-188","2","18","5","3.7452399999999999","4.95","24.3386","5.5860000000000003","8.0690000000000008","30.8"
"63910","Mb-1043_32","2","20","5","8.6538500000000004E-2","0.15","42.307699999999997","NA","NA","NA"
"63916","Mb-498_1","2","26","5","0.74046400000000001","1.5","50.6357","0.48299999999999998","0.89800000000000002","46.2"
"63922","Mb-427_1","2","32","5","0.60012299999999996","0.85","29.397300000000001","0.81299999999999994","1.018","20.2"
"63923","Mb-1353_14","2","33","5","0.34761199999999998","0.5","30.477499999999999","NA","NA","NA"
"63942","Mb-146","2","29","6","0.161078","0.3","46.307200000000002","0.64700000000000002","0.80700000000000005","19.8"
"63953","Mb-140","2","18","6","0.522281","0.65","19.649100000000001","1.4970000000000001","1.845","18.899999999999999"
"63969","Mb-1156_13","2","2","6","2.7405499999999998","5.8","52.749099999999999","3.8090000000000002","7.2469999999999999","47.4"
"64003","Mb-297","2","33","7","0.30688700000000002","0.35","12.318099999999999","0.57599999999999996","0.68799999999999994","16.3"
"64012","Mb-1485_42","2","39","8","3.40496","4.45","23.484000000000002","4.5259999999999998","5.9809999999999999","24.3"
"64020","Mb-306","2","31","8","1.3703399999999999","1.708","19.769500000000001","1.7290000000000001","2.1789999999999998","20.6"
"64039","Mb-226","2","12","8","0.41100900000000001","0.6","31.4986","1.5940000000000001","2.06","22.6"
"64042","Mb-1155_33","2","9","8","0.17313000000000001","0.25","30.747900000000001","0.182","0.28799999999999998","36.799999999999997"
"64062","Mx-1915_12","2","12","9","1.84799","2.4","23.000399999999999","1.276","1.575","19"
"64066","Mb-109","2","16","9","1.0378799999999999","1.9","45.374699999999997","1.675","2.544","34.200000000000003"
"64071","Mb-1056_31","2","21","9","0.41275899999999999","0.5","17.4482","1.214","1.49","18.5"
