"UID","Genotype","Pheno_date","Year","Location","Dry_matter_plant","Fresh_weight_plant","Moisture_content"
70375,"Mb-115","22-Apr-15",2015,"JKI 15 AM-R8 C2",1.356,1.44,5.83333
70378,"Mb-140","23-Apr-15",2015,"JKI 15 AM-R5 C2",2.0124,2.18,7.68817
70379,"Mb-142","24-Apr-15",2015,"JKI 15 AM-R4 C2",1.40036,1.54,9.0678
70380,"Mb-144","23-Apr-15",2015,"JKI 15 AM-R3 C2",2.47263,2.7,8.42105
70381,"Mb-146","22-Apr-15",2015,"JKI 15 AM-R2 C2",2.09517,2.36,11.2216
70384,"Mb-147","24-Apr-15",2015,"JKI 15 AM-R2 C3",3.13443,3.44,8.88298
70385,"Mb-148","23-Apr-15",2015,"JKI 15 AM-R3 C3",3.10599,3.46,10.2315
70386,"Mb-149","24-Apr-15",2015,"JKI 15 AM-R4 C3",3.04083,3.56,14.5833
70387,"Mb-166","24-Apr-15",2015,"JKI 15 AM-R5 C3",1.63789,2.2,25.5507
70388,"Mb-167","23-Apr-15",2015,"JKI 15 AM-R6 C3",2.34663,3.16,25.7396
70389,"Mb-177","22-Apr-15",2015,"JKI 15 AM-R7 C3",2.26838,2.5,9.26471
70390,"Mb-99","23-Apr-15",2015,"JKI 15 AM-R8 C3",2.981,3.52,15.3125
70392,"Mb-188","23-Apr-15",2015,"JKI 15 AM-R10 C3",3.79883,4.62,17.7742
70393,"Mb-221","24-Apr-15",2015,"JKI 15 AM-R11 C3",0.894781,1.04,13.9634
70394,"Mb-226","23-Apr-15",2015,"JKI 15 AM-R12 C3",3.0505,3.38,9.74843
70395,"Mb-229","23-Apr-15",2015,"JKI 15 AM-R13 C3",1.10044,1.18,6.74242
70397,"Mb-255","22-Apr-15",2015,"JKI 15 AM-R15 C3",1.50643,1.64,8.14444
70398,"Mb-272","24-Apr-15",2015,"JKI 15 AM-R16 C3",1.81655,1.94,6.36364
70399,"Mb-297","24-Apr-15",2015,"JKI 15 AM-R17 C3",1.68291,1.82,7.53247
70402,"Mb-306","23-Apr-15",2015,"JKI 15 AM-R17 C4",1.23524,1.44,14.2194
70403,"Mb-307","23-Apr-15",2015,"JKI 15 AM-R16 C4",5.45661,6.7,18.5581
70405,"Mb-309","24-Apr-15",2015,"JKI 15 AM-R14 C4",4.70358,6.24,24.6221
70406,"Mb-310","23-Apr-15",2015,"JKI 15 AM-R13 C4",3.93586,5.18,24.0181
70408,"Mb-353","24-Apr-15",2015,"JKI 15 AM-R11 C4",1.33661,1.46,8.45109
70411,"Mb-383_1","24-Apr-15",2015,"JKI 15 AM-R8 C4",1.73284,2.04,15.0568
70412,"Mb-391","23-Apr-15",2015,"JKI 15 AM-R7 C4",1.10849,1.22,9.14013
70413,"Mb-393_1","23-Apr-15",2015,"JKI 15 AM-R6 C4",1.74473,2.16,19.2256
70414,"Mb-397","22-Apr-15",2015,"JKI 15 AM-R5 C4",2.51667,2.9,13.2184
70415,"Mb-399","23-Apr-15",2015,"JKI 15 AM-R4 C4",2.00485,2.26,11.2899
70416,"Mb-99","22-Apr-15",2015,"JKI 15 AM-R3 C4",2.51509,2.94,14.4526
70417,"Mb-401","23-Apr-15",2015,"JKI 15 AM-R2 C4",1.9227,2.2,12.6044
70420,"Mb-411","24-Apr-15",2015,"JKI 15 AM-R2 C5",1.83102,2.28,19.6919
70422,"Mb-425_1","22-Apr-15",2015,"JKI 15 AM-R4 C5",1.16027,1.38,15.9225
70423,"Mb-427_1","22-Apr-15",2015,"JKI 15 AM-R5 C5",1.57816,1.78,11.3393
70424,"Mb-431_1","23-Apr-15",2015,"JKI 15 AM-R6 C5",1.35841,1.54,11.7914
70427,"Mb-434_1","23-Apr-15",2015,"JKI 15 AM-R9 C5",2.44743,2.68,8.67816
70428,"Mx-437_90","23-Apr-15",2015,"JKI 15 AM-R10 C5",4.12692,4.48,7.88136
70429,"Mb-485_1","23-Apr-15",2015,"JKI 15 AM-R11 C5",2.35377,2.62,10.1613
70430,"Mb-486","23-Apr-15",2015,"JKI 15 AM-R12 C5",3.67227,4.2,12.5649
70431,"Mb-488_15","23-Apr-15",2015,"JKI 15 AM-R13 C5",3.61045,4.08,11.5086
70433,"Mb-490_10","23-Apr-15",2015,"JKI 15 AM-R15 C5",1.85627,2.08,10.7563
70434,"Mb-490_10","23-Apr-15",2015,"JKI 15 AM-R16 C5",2.69643,3.02,10.7143
70435,"Mb-494_1","22-Apr-15",2015,"JKI 15 AM-R17 C5",2.404,2.7,10.963
70438,"Mb-498_1","23-Apr-15",2015,"JKI 15 AM-R17 C6",0.586236,0.76,22.8636
70439,"Mb-502_1","23-Apr-15",2015,"JKI 15 AM-R16 C6",2.62903,3.28,19.8466
70440,"Mb-505_1","23-Apr-15",2015,"JKI 15 AM-R15 C6",2.15121,2.58,16.6197
70441,"Mb-99","22-Apr-15",2015,"JKI 15 AM-R14 C6",2.188,2.58,15.1938
70442,"Mb-508","22-Apr-15",2015,"JKI 15 AM-R13 C6",0.838812,0.94,10.7647
70445,"Mb-526_13","23-Apr-15",2015,"JKI 15 AM-R10 C6",1.28248,1.42,9.68468
70446,"Mb-527_1","23-Apr-15",2015,"JKI 15 AM-R9 C6",2.78227,3.08,9.66667
70447,"Mb-533_1","23-Apr-15",2015,"JKI 15 AM-R8 C6",1.24039,1.36,8.79518
70448,"Mb-539_1","23-Apr-15",2015,"JKI 15 AM-R7 C6",0.559524,0.6,6.74603
70451,"Mb-628_1","23-Apr-15",2015,"JKI 15 AM-R4 C6",2.01267,2.4,16.1388
70458,"Mb-770_18","23-Apr-15",2015,"JKI 15 AM-R4 C7",3.13758,3.62,13.3265
70462,"Mb-779_14","23-Apr-15",2015,"JKI 15 AM-R8 C7",2.70446,3.18,14.9541
70464,"Mb-99","23-Apr-15",2015,"JKI 15 AM-R10 C7",3.32558,3.84,13.3962
70467,"Mb-787_13","23-Apr-15",2015,"JKI 15 AM-R13 C7",1.90222,2.14,11.1111
70471,"Mb-810_11","22-Apr-15",2015,"JKI 15 AM-R17 C7",2.6144,2.88,9.22222
70475,"Mb-819_19","22-Apr-15",2015,"JKI 15 AM-R16 C8",1.39219,1.54,9.59821
70476,"Mb-819_19","22-Apr-15",2015,"JKI 15 AM-R15 C8",1.71219,1.88,8.92593
70485,"Mb-884_1","24-Apr-15",2015,"JKI 15 AM-R6 C8",1.74698,1.92,9.01163
70493,"Mb-893_11","22-Apr-15",2015,"JKI 15 AM-R3 C9",2.019,2.8,27.8929
70497,"Mb-910_11","22-Apr-15",2015,"JKI 15 AM-R7 C9",2.60763,3.5,25.4962
70498,"Mb-913_17","22-Apr-15",2015,"JKI 15 AM-R8 C9",1.87105,2.08,10.0459
70499,"Mb-914_13","22-Apr-15",2015,"JKI 15 AM-R9 C9",2.44474,3.36,27.24
70506,"Mb-930","22-Apr-15",2015,"JKI 15 AM-R16 C9",0.928141,1.26,26.338
70510,"Mb-931_12","22-Apr-15",2015,"JKI 15 AM-R17 C10",2.87019,3.64,21.1486
70511,"Mb-933_11","22-Apr-15",2015,"JKI 15 AM-R16 C10",1.33971,1.84,27.1898
70512,"Mb-99","22-Apr-15",2015,"JKI 15 AM-R15 C10",2.57216,3.18,19.1146
70513,"Mb-935_13","22-Apr-15",2015,"JKI 15 AM-R14 C10",2.3005,2.58,10.8333
70514,"Mb-935_13","22-Apr-15",2015,"JKI 15 AM-R31 C10",0.679915,0.86,20.9402
70517,"Mb-956_19","24-Apr-15",2015,"JKI 15 AM-R10 C10",1.92417,2.18,11.7355
70518,"Mb-956_19","22-Apr-15",2015,"JKI 15 AM-R9 C10",2.08506,2.32,10.1266
70520,"Mb-958_19","24-Apr-15",2015,"JKI 15 AM-R7 C10",2.68489,2.96,9.29412
70521,"Mb-960_20","24-Apr-15",2015,"JKI 15 AM-R6 C10",2.81464,4.14,32.0134
70522,"Mb-960_20","22-Apr-15",2015,"JKI 15 AM-R5 C10",2.5703,3.76,31.641
70523,"Mb-961_16","22-Apr-15",2015,"JKI 15 AM-R4 C10",1.43499,1.62,11.4205
70528,"Mb-965_15","22-Apr-15",2015,"JKI 15 AM-R2 C11",4.84549,5.44,10.9286
70530,"Mb-969_18","24-Apr-15",2015,"JKI 15 AM-R4 C11",2.02356,2.44,17.0673
70532,"Mb-974_19","24-Apr-15",2015,"JKI 15 AM-R6 C11",2.16888,2.58,15.935
70535,"Mb-99","22-Apr-15",2015,"JKI 15 AM-R9 C11",2.139,2.76,22.5
70540,"Mb-1037_52","22-Apr-15",2015,"JKI 15 AM-R14 C11",1.4514,1.62,10.4074
70541,"Mb-1037_52","22-Apr-15",2015,"JKI 15 AM-R15 C11",1.955,2.16,9.49057
70542,"Mb-1040_17","22-Apr-15",2015,"JKI 15 AM-R16 C11",1.52404,1.82,16.2617
70543,"Mb-1043_32","22-Apr-15",2015,"JKI 15 AM-R17 C11",1.80647,2.02,10.5707
70546,"Mb-1044_50","24-Apr-15",2015,"JKI 15 AM-R17 C12",1.40495,1.56,9.93939
70549,"Mb-1056_31","23-Apr-15",2015,"JKI 15 AM-R14 C12",0.706588,0.78,9.41177
70552,"Mb-1067_18","23-Apr-15",2015,"JKI 15 AM-R11 C12",1.65946,2.12,21.7237
70556,"Mb-1086_54","23-Apr-15",2015,"JKI 15 AM-R7 C12",5.62484,6.88,18.2436
70558,"Mb-99","23-Apr-15",2015,"JKI 15 AM-R5 C12",2.73959,3.36,18.4646
70571,"Mb-1130_51","24-Apr-15",2015,"JKI 15 AM-R9 C13",2.97397,3.52,15.5122
70573,"Mb-1132_52","23-Apr-15",2015,"JKI 15 AM-R11 C13",1.6126,1.78,9.40476
70578,"Mb-1147_12","23-Apr-15",2015,"JKI 15 AM-R16 C13",1.60883,1.92,16.2069
70579,"Mb-1147_12","22-Apr-15",2015,"JKI 15 AM-R17 C13",1.6374,1.9,13.8209
70583,"Mb-99","24-Apr-15",2015,"JKI 15 AM-R16 C14",2.9998,3.68,18.4836
70584,"Mb-1153_20","23-Apr-15",2015,"JKI 15 AM-R15 C14",3.11619,4.5,30.7513
70585,"Mb-1153_20","22-Apr-15",2015,"JKI 15 AM-R14 C14",4.12688,6.16,33.0052
70586,"Mb-1155_33","22-Apr-15",2015,"JKI 15 AM-R13 C14",0.49375,0.6,17.7083
70587,"Mb-1156_13","24-Apr-15",2015,"JKI 15 AM-R12 C14",3.15093,4.96,36.4732
70588,"Mb-1162_20","23-Apr-15",2015,"JKI 15 AM-R11 C14",2.92094,3.36,13.0672
70592,"Mb-1182_16","24-Apr-15",2015,"JKI 15 AM-R7 C14",3.46971,5.06,31.4286
70600,"Mb-1205_12","22-Apr-15",2015,"JKI 15 AM-R2 C15",2.87564,3.26,11.7901
70602,"Mb-1231_18","24-Apr-15",2015,"JKI 15 AM-R4 C15",4.3338,6.72,35.509
70604,"Mb-1238_1","23-Apr-15",2015,"JKI 15 AM-R6 C15",0.708565,0.86,17.6087
70605,"Mb-1261_15","23-Apr-15",2015,"JKI 15 AM-R7 C15",2.95563,3.34,11.5079
70607,"Mb-1353_14","22-Apr-15",2015,"JKI 15 AM-R9 C15",2.45406,2.66,7.74194
70608,"Mb-1353_14","23-Apr-15",2015,"JKI 15 AM-R10 C15",2.9588,3.26,9.23913
70609,"Mb-99","22-Apr-15",2015,"JKI 15 AM-R11 C15",3.35391,4.1,18.1973
70612,"Mb-1485_42","22-Apr-15",2015,"JKI 15 AM-R14 C15",3.83265,4.44,13.679
70613,"Mb-1486_1","22-Apr-15",2015,"JKI 15 AM-R15 C15",3.80385,4.48,15.0926
70614,"Mx-1548_12","23-Apr-15",2015,"JKI 15 AM-R16 C15",1.70816,2,14.5918
70615,"Mx-1915_12","22-Apr-15",2015,"JKI 15 AM-R17 C15",2.11202,2.3,8.17308
70618,"Mx-1932_13","23-Apr-15",2015,"JKI 15 AM-R17 C16",3.53501,3.98,11.1806
70619,"Mx-1933_11","23-Apr-15",2015,"JKI 15 AM-R16 C16",2.60266,3.14,17.1127
70620,"Mx-1956_15","23-Apr-15",2015,"JKI 15 AM-R15 C16",2.32977,2.68,13.0682
70621,"Mx-2446_1","24-Apr-15",2015,"JKI 15 AM-R14 C16",2.24233,3.42,34.4349
70622,"Mx-2470_5","22-Apr-15",2015,"JKI 15 AM-R13 C16",2.37665,2.66,10.6522
70625,"Mb-2","23-Apr-15",2015,"JKI 15 AM-R21 C1",1.77644,2.2,19.2529
70626,"Mb-3","22-Apr-15",2015,"JKI 15 AM-R22 C1",2.34803,3,21.7323
70628,"Mb-9","24-Apr-15",2015,"JKI 15 AM-R24 C1",2.064,2.4,14
70629,"Mb-14","22-Apr-15",2015,"JKI 15 AM-R25 C1",3.57633,4.12,13.1959
70631,"Mb-31","24-Apr-15",2015,"JKI 15 AM-R27 C1",1.52501,1.72,11.3366
70632,"Mb-35","23-Apr-15",2015,"JKI 15 AM-R28 C1",1.35167,1.56,13.3544
70633,"Mb-37","23-Apr-15",2015,"JKI 15 AM-R29 C1",4.36584,6.12,28.6628
70635,"Mb-70","24-Apr-15",2015,"JKI 15 AM-R31 C1",1.75088,2.56,31.6062
70636,"Mb-72","22-Apr-15",2015,"JKI 15 AM-R32 C1",1.89014,2.38,20.5825
70637,"Mb-74","24-Apr-15",2015,"JKI 15 AM-R33 C1",2.07654,2.86,27.3936
70638,"Mb-76","23-Apr-15",2015,"JKI 15 AM-R34 C1",1.98974,2.26,11.9583
70642,"Mb-86","24-Apr-15",2015,"JKI 15 AM-R35 C2",2.96099,3.44,13.9247
70643,"Mb-94","24-Apr-15",2015,"JKI 15 AM-R34 C2",NA,1.18,NA
70644,"Mb-102","22-Apr-15",2015,"JKI 15 AM-R33 C2",2.41161,2.8,13.871
